"Date(UTC)","UnixTimeStamp","Value"
"5/29/2021","1622246400","48"
"5/30/2021","1622332800","25"
"5/31/2021","1622419200","73"
"6/1/2021","1622505600","44"
"6/2/2021","1622592000","171"
"6/3/2021","1622678400","114"
"6/4/2021","1622764800","94"
"6/5/2021","1622851200","18"
"6/6/2021","1622937600","54"
"6/7/2021","1623024000","223"
"6/8/2021","1623110400","151"
"6/9/2021","1623196800","138"
"6/10/2021","1623283200","188"
"6/11/2021","1623369600","123"
"6/12/2021","1623456000","89"
"6/13/2021","1623542400","161"
"6/14/2021","1623628800","106"
"6/15/2021","1623715200","277"
"6/16/2021","1623801600","774"
"6/17/2021","1623888000","1797"
"6/18/2021","1623974400","1613"
"6/19/2021","1624060800","1523"
"6/20/2021","1624147200","1533"
"6/21/2021","1624233600","1625"
"6/22/2021","1624320000","3577"
"6/23/2021","1624406400","4100"
"6/24/2021","1624492800","3934"
"6/25/2021","1624579200","3911"
"6/26/2021","1624665600","3997"
"6/27/2021","1624752000","4236"
"6/28/2021","1624838400","4291"
"6/29/2021","1624924800","4338"
"6/30/2021","1625011200","4353"
"7/1/2021","1625097600","4364"
"7/2/2021","1625184000","4309"
"7/3/2021","1625270400","4321"
"7/4/2021","1625356800","4332"
"7/5/2021","1625443200","4504"
"7/6/2021","1625529600","4495"
"7/7/2021","1625616000","4346"
"7/8/2021","1625702400","4525"
"7/9/2021","1625788800","4632"
"7/10/2021","1625875200","4611"
"7/11/2021","1625961600","4631"
"7/12/2021","1626048000","4698"
"7/13/2021","1626134400","4755"
"7/14/2021","1626220800","5042"
"7/15/2021","1626307200","4948"
"7/16/2021","1626393600","4886"
"7/17/2021","1626480000","4818"
"7/18/2021","1626566400","4707"
"7/19/2021","1626652800","4797"
"7/20/2021","1626739200","4825"
"7/21/2021","1626825600","4832"
"7/22/2021","1626912000","5011"
"7/23/2021","1626998400","4827"
"7/24/2021","1627084800","1114"
"7/25/2021","1627171200","4426"
"7/26/2021","1627257600","5332"
"7/27/2021","1627344000","5438"
"7/28/2021","1627430400","5512"
"7/29/2021","1627516800","5325"
"7/30/2021","1627603200","4971"
"7/31/2021","1627689600","4314"
"8/1/2021","1627776000","4447"
"8/2/2021","1627862400","4400"
"8/3/2021","1627948800","4421"
"8/4/2021","1628035200","4536"
"8/5/2021","1628121600","4644"
"8/6/2021","1628208000","2345"
"8/7/2021","1628294400","324"
"8/8/2021","1628380800","320"
"8/9/2021","1628467200","364"
"8/10/2021","1628553600","295"
"8/11/2021","1628640000","289"
"8/12/2021","1628726400","513"
"8/13/2021","1628812800","253"
"8/14/2021","1628899200","249"
"8/15/2021","1628985600","224"
"8/16/2021","1629072000","404"
"8/17/2021","1629158400","527"
"8/18/2021","1629244800","429"
"8/19/2021","1629331200","436"
"8/20/2021","1629417600","371"
"8/21/2021","1629504000","274"
"8/22/2021","1629590400","267"
"8/23/2021","1629676800","242"
"8/24/2021","1629763200","799"
"8/25/2021","1629849600","1098"
"8/26/2021","1629936000","857"
"8/27/2021","1630022400","359"
"8/28/2021","1630108800","705"
"8/29/2021","1630195200","236"
"8/30/2021","1630281600","718"
"8/31/2021","1630368000","2309"
"9/1/2021","1630454400","26326"
"9/2/2021","1630540800","10205"
"9/3/2021","1630627200","9445"
"9/4/2021","1630713600","9721"
"9/5/2021","1630800000","11920"
"9/6/2021","1630886400","13301"
"9/7/2021","1630972800","12812"
"9/8/2021","1631059200","10976"
"9/9/2021","1631145600","18050"
"9/10/2021","1631232000","31163"
"9/11/2021","1631318400","106839"
"9/12/2021","1631404800","267608"
"9/13/2021","1631491200","115475"
"9/14/2021","1631577600","124495"
"9/15/2021","1631664000","136745"
"9/16/2021","1631750400","128495"
"9/17/2021","1631836800","77614"
"9/18/2021","1631923200","79071"
"9/19/2021","1632009600","76844"
"9/20/2021","1632096000","62969"
"9/21/2021","1632182400","66540"
"9/22/2021","1632268800","55432"
"9/23/2021","1632355200","59888"
"9/24/2021","1632441600","49999"
"9/25/2021","1632528000","48730"
"9/26/2021","1632614400","41324"
"9/27/2021","1632700800","38789"
"9/28/2021","1632787200","37341"
"9/29/2021","1632873600","36531"
"9/30/2021","1632960000","37560"
"10/1/2021","1633046400","36607"
"10/2/2021","1633132800","31722"
"10/3/2021","1633219200","31617"
"10/4/2021","1633305600","33217"
"10/5/2021","1633392000","31108"
"10/6/2021","1633478400","28683"
"10/7/2021","1633564800","26212"
"10/8/2021","1633651200","25912"
"10/9/2021","1633737600","36597"
"10/10/2021","1633824000","41559"
"10/11/2021","1633910400","37902"
"10/12/2021","1633996800","39015"
"10/13/2021","1634083200","32918"
"10/14/2021","1634169600","31659"
"10/15/2021","1634256000","34374"
"10/16/2021","1634342400","27880"
"10/17/2021","1634428800","35581"
"10/18/2021","1634515200","31372"
"10/19/2021","1634601600","36025"
"10/20/2021","1634688000","31422"
"10/21/2021","1634774400","27044"
"10/22/2021","1634860800","26192"
"10/23/2021","1634947200","24445"
"10/24/2021","1635033600","38788"
"10/25/2021","1635120000","26696"
"10/26/2021","1635206400","45962"
"10/27/2021","1635292800","51498"
"10/28/2021","1635379200","37721"
"10/29/2021","1635465600","33851"
"10/30/2021","1635552000","21005"
"10/31/2021","1635638400","25183"
"11/1/2021","1635724800","25769"
"11/2/2021","1635811200","24051"
"11/3/2021","1635897600","23020"
"11/4/2021","1635984000","20008"
"11/5/2021","1636070400","21539"
"11/6/2021","1636156800","20000"
"11/7/2021","1636243200","20533"
"11/8/2021","1636329600","22725"
"11/9/2021","1636416000","20942"
"11/10/2021","1636502400","29098"
"11/11/2021","1636588800","21954"
"11/12/2021","1636675200","22942"
"11/13/2021","1636761600","22352"
"11/14/2021","1636848000","22832"
"11/15/2021","1636934400","22207"
"11/16/2021","1637020800","26817"
"11/17/2021","1637107200","24849"
"11/18/2021","1637193600","22115"
"11/19/2021","1637280000","23953"
"11/20/2021","1637366400","40913"
"11/21/2021","1637452800","34871"
"11/22/2021","1637539200","32683"
"11/23/2021","1637625600","29368"
"11/24/2021","1637712000","29780"
"11/25/2021","1637798400","29682"
"11/26/2021","1637884800","33672"
"11/27/2021","1637971200","24535"
"11/28/2021","1638057600","31142"
"11/29/2021","1638144000","29027"
"11/30/2021","1638230400","29471"
"12/1/2021","1638316800","29514"
"12/2/2021","1638403200","25427"
"12/3/2021","1638489600","25410"
"12/4/2021","1638576000","32808"
"12/5/2021","1638662400","28492"
"12/6/2021","1638748800","30668"
"12/7/2021","1638835200","26940"
"12/8/2021","1638921600","35566"
"12/9/2021","1639008000","27253"
"12/10/2021","1639094400","28210"
"12/11/2021","1639180800","33508"
"12/12/2021","1639267200","31224"
"12/13/2021","1639353600","39851"
"12/14/2021","1639440000","28793"
"12/15/2021","1639526400","26855"
"12/16/2021","1639612800","20756"
"12/17/2021","1639699200","21004"
"12/18/2021","1639785600","20749"
"12/19/2021","1639872000","21604"
"12/20/2021","1639958400","22793"
"12/21/2021","1640044800","21277"
"12/22/2021","1640131200","22052"
"12/23/2021","1640217600","23394"
"12/24/2021","1640304000","19796"
"12/25/2021","1640390400","15123"
"12/26/2021","1640476800","18253"
"12/27/2021","1640563200","21030"
"12/28/2021","1640649600","24811"
"12/29/2021","1640736000","22237"
"12/30/2021","1640822400","29046"
"12/31/2021","1640908800","30178"
"1/1/2022","1640995200","31580"
"1/2/2022","1641081600","33447"
"1/3/2022","1641168000","34253"
"1/4/2022","1641254400","46264"
"1/5/2022","1641340800","44508"
"1/6/2022","1641427200","39768"
"1/7/2022","1641513600","41744"
"1/8/2022","1641600000","33433"
"1/9/2022","1641686400","17798"
"1/10/2022","1641772800","35336"
"1/11/2022","1641859200","28693"
"1/12/2022","1641945600","26543"
"1/13/2022","1642032000","28879"
"1/14/2022","1642118400","30390"
"1/15/2022","1642204800","30430"
"1/16/2022","1642291200","34840"
"1/17/2022","1642377600","34896"
"1/18/2022","1642464000","34700"
"1/19/2022","1642550400","31089"
"1/20/2022","1642636800","38749"
"1/21/2022","1642723200","48654"
"1/22/2022","1642809600","45992"
"1/23/2022","1642896000","30276"
"1/24/2022","1642982400","63581"
"1/25/2022","1643068800","57715"
"1/26/2022","1643155200","71334"
"1/27/2022","1643241600","50949"
"1/28/2022","1643328000","39402"
"1/29/2022","1643414400","35693"
"1/30/2022","1643500800","51373"
"1/31/2022","1643587200","36674"
"2/1/2022","1643673600","36789"
"2/2/2022","1643760000","36313"
"2/3/2022","1643846400","37498"
"2/4/2022","1643932800","35721"
"2/5/2022","1644019200","32113"
"2/6/2022","1644105600","72845"
"2/7/2022","1644192000","70366"
"2/8/2022","1644278400","78680"
"2/9/2022","1644364800","85142"
"2/10/2022","1644451200","73865"
"2/11/2022","1644537600","67814"
"2/12/2022","1644624000","66820"
"2/13/2022","1644710400","60008"
"2/14/2022","1644796800","68086"
"2/15/2022","1644883200","76133"
"2/16/2022","1644969600","73823"
"2/17/2022","1645056000","76124"
"2/18/2022","1645142400","75234"
"2/19/2022","1645228800","72019"
"2/20/2022","1645315200","94795"
"2/21/2022","1645401600","100826"
"2/22/2022","1645488000","105852"
"2/23/2022","1645574400","87250"
"2/24/2022","1645660800","106633"
"2/25/2022","1645747200","80525"
"2/26/2022","1645833600","81001"
"2/27/2022","1645920000","89372"
"2/28/2022","1646006400","79773"
"3/1/2022","1646092800","77414"
"3/2/2022","1646179200","122384"
"3/3/2022","1646265600","73572"
"3/4/2022","1646352000","46390"
"3/5/2022","1646438400","30237"
"3/6/2022","1646524800","34519"
"3/7/2022","1646611200","61283"
"3/8/2022","1646697600","71260"
"3/9/2022","1646784000","71514"
"3/10/2022","1646870400","47547"
"3/11/2022","1646956800","53198"
"3/12/2022","1647043200","58682"
"3/13/2022","1647129600","44570"
"3/14/2022","1647216000","52050"
"3/15/2022","1647302400","55317"
"3/16/2022","1647388800","63500"
"3/17/2022","1647475200","60147"
"3/18/2022","1647561600","55490"
"3/19/2022","1647648000","48398"
"3/20/2022","1647734400","53226"
"3/21/2022","1647820800","57417"
"3/22/2022","1647907200","66245"
"3/23/2022","1647993600","103030"
"3/24/2022","1648080000","100366"
"3/25/2022","1648166400","82758"
"3/26/2022","1648252800","56258"
"3/27/2022","1648339200","64706"
"3/28/2022","1648425600","73967"
"3/29/2022","1648512000","71999"
"3/30/2022","1648598400","84469"
"3/31/2022","1648684800","70387"
"4/1/2022","1648771200","82005"
"4/2/2022","1648857600","138670"
"4/3/2022","1648944000","62239"
"4/4/2022","1649030400","53817"
"4/5/2022","1649116800","49022"
"4/6/2022","1649203200","62224"
"4/7/2022","1649289600","57064"
"4/8/2022","1649376000","54635"
"4/9/2022","1649462400","45127"
"4/10/2022","1649548800","42533"
"4/11/2022","1649635200","60086"
"4/12/2022","1649721600","54517"
"4/13/2022","1649808000","54326"
"4/14/2022","1649894400","59918"
"4/15/2022","1649980800","68368"
"4/16/2022","1650067200","57816"
"4/17/2022","1650153600","61625"
"4/18/2022","1650240000","64230"
"4/19/2022","1650326400","76323"
"4/20/2022","1650412800","98533"
"4/21/2022","1650499200","77405"
"4/22/2022","1650585600","76262"
"4/23/2022","1650672000","65539"
"4/24/2022","1650758400","60351"
"4/25/2022","1650844800","71053"
"4/26/2022","1650931200","66352"
"4/27/2022","1651017600","90196"
"4/28/2022","1651104000","88372"
"4/29/2022","1651190400","92474"
"4/30/2022","1651276800","91691"
"5/1/2022","1651363200","56272"
"5/2/2022","1651449600","77136"
"5/3/2022","1651536000","75275"
"5/4/2022","1651622400","88701"
"5/5/2022","1651708800","85195"
"5/6/2022","1651795200","96739"
"5/7/2022","1651881600","89751"
"5/8/2022","1651968000","106916"
"5/9/2022","1652054400","133735"
"5/10/2022","1652140800","113348"
"5/11/2022","1652227200","123145"
"5/12/2022","1652313600","118514"
"5/13/2022","1652400000","73092"
"5/14/2022","1652486400","82978"
"5/15/2022","1652572800","89754"
"5/16/2022","1652659200","106053"
"5/17/2022","1652745600","95457"
"5/18/2022","1652832000","91139"
"5/19/2022","1652918400","90118"
"5/20/2022","1653004800","86043"
"5/21/2022","1653091200","80448"
"5/22/2022","1653177600","78325"
"5/23/2022","1653264000","87489"
"5/24/2022","1653350400","83054"
"5/25/2022","1653436800","72361"
"5/26/2022","1653523200","74753"
"5/27/2022","1653609600","80659"
"5/28/2022","1653696000","73438"
"5/29/2022","1653782400","75463"
"5/30/2022","1653868800","80859"
"5/31/2022","1653955200","83525"
"6/1/2022","1654041600","97129"
"6/2/2022","1654128000","102699"
"6/3/2022","1654214400","90152"
"6/4/2022","1654300800","92070"
"6/5/2022","1654387200","89497"
"6/6/2022","1654473600","104157"
"6/7/2022","1654560000","116621"
"6/8/2022","1654646400","92291"
"6/9/2022","1654732800","88937"
"6/10/2022","1654819200","83517"
"6/11/2022","1654905600","105899"
"6/12/2022","1654992000","99682"
"6/13/2022","1655078400","128732"
"6/14/2022","1655164800","117981"
"6/15/2022","1655251200","131470"
"6/16/2022","1655337600","103413"
"6/17/2022","1655424000","111090"
"6/18/2022","1655510400","111783"
"6/19/2022","1655596800","94115"
"6/20/2022","1655683200","96005"
"6/21/2022","1655769600","121008"
"6/22/2022","1655856000","197854"
"6/23/2022","1655942400","169198"
"6/24/2022","1656028800","185443"
"6/25/2022","1656115200","196837"
"6/26/2022","1656201600","240505"
"6/27/2022","1656288000","287019"
"6/28/2022","1656374400","213912"
"6/29/2022","1656460800","243907"
"6/30/2022","1656547200","156842"
"7/1/2022","1656633600","111532"
"7/2/2022","1656720000","98540"
"7/3/2022","1656806400","83768"
"7/4/2022","1656892800","88084"
"7/5/2022","1656979200","75613"
"7/6/2022","1657065600","76205"
"7/7/2022","1657152000","70252"
"7/8/2022","1657238400","68393"
"7/9/2022","1657324800","62997"
"7/10/2022","1657411200","58855"
"7/11/2022","1657497600","58493"
"7/12/2022","1657584000","66184"
"7/13/2022","1657670400","87808"
"7/14/2022","1657756800","78018"
"7/15/2022","1657843200","73912"
"7/16/2022","1657929600","76830"
"7/17/2022","1658016000","88615"
"7/18/2022","1658102400","116795"
"7/19/2022","1658188800","110085"
"7/20/2022","1658275200","107832"
"7/21/2022","1658361600","104285"
"7/22/2022","1658448000","91792"
"7/23/2022","1658534400","77243"
"7/24/2022","1658620800","91852"
"7/25/2022","1658707200","100219"
"7/26/2022","1658793600","92315"
"7/27/2022","1658880000","90729"
"7/28/2022","1658966400","102108"
"7/29/2022","1659052800","93810"
"7/30/2022","1659139200","89154"
"7/31/2022","1659225600","97705"
"8/1/2022","1659312000","86478"
"8/2/2022","1659398400","91211"
"8/3/2022","1659484800","98642"
"8/4/2022","1659571200","87285"
"8/5/2022","1659657600","100436"
"8/6/2022","1659744000","89923"
"8/7/2022","1659830400","92965"
"8/8/2022","1659916800","106276"
"8/9/2022","1660003200","113241"
"8/10/2022","1660089600","107303"
"8/11/2022","1660176000","103906"
"8/12/2022","1660262400","77777"
"8/13/2022","1660348800","81301"
"8/14/2022","1660435200","87100"
"8/15/2022","1660521600","95595"
"8/16/2022","1660608000","102034"
"8/17/2022","1660694400","112710"
"8/18/2022","1660780800","89905"
"8/19/2022","1660867200","117833"
"8/20/2022","1660953600","96816"
"8/21/2022","1661040000","97617"
"8/22/2022","1661126400","101569"
"8/23/2022","1661212800","107840"
"8/24/2022","1661299200","101861"
"8/25/2022","1661385600","116302"
"8/26/2022","1661472000","184507"
"8/27/2022","1661558400","149275"
"8/28/2022","1661644800","179422"
"8/29/2022","1661731200","159310"
"8/30/2022","1661817600","179382"
"8/31/2022","1661904000","255142"
"9/1/2022","1661990400","163268"
"9/2/2022","1662076800","168248"
"9/3/2022","1662163200","151283"
"9/4/2022","1662249600","166625"
"9/5/2022","1662336000","178842"
"9/6/2022","1662422400","231042"
"9/7/2022","1662508800","222965"
"9/8/2022","1662595200","209354"
"9/9/2022","1662681600","203899"
"9/10/2022","1662768000","159519"
"9/11/2022","1662854400","152872"
"9/12/2022","1662940800","165739"
"9/13/2022","1663027200","205416"
"9/14/2022","1663113600","156732"
"9/15/2022","1663200000","162992"
"9/16/2022","1663286400","143005"
"9/17/2022","1663372800","113570"
"9/18/2022","1663459200","139003"
"9/19/2022","1663545600","180388"
"9/20/2022","1663632000","234330"
"9/21/2022","1663718400","267185"
"9/22/2022","1663804800","243795"
"9/23/2022","1663891200","229988"
"9/24/2022","1663977600","197561"
"9/25/2022","1664064000","212218"
"9/26/2022","1664150400","216615"
"9/27/2022","1664236800","196496"
"9/28/2022","1664323200","235574"
"9/29/2022","1664409600","199934"
"9/30/2022","1664496000","195306"
"10/1/2022","1664582400","194334"
"10/2/2022","1664668800","211113"
"10/3/2022","1664755200","180170"
"10/4/2022","1664841600","186253"
"10/5/2022","1664928000","222294"
"10/6/2022","1665014400","212483"
"10/7/2022","1665100800","229424"
"10/8/2022","1665187200","224266"
"10/9/2022","1665273600","185143"
"10/10/2022","1665360000","152320"
"10/11/2022","1665446400","169938"
"10/12/2022","1665532800","173551"
"10/13/2022","1665619200","217629"
"10/14/2022","1665705600","219900"
"10/15/2022","1665792000","177096"
"10/16/2022","1665878400","179677"
"10/17/2022","1665964800","209397"
"10/18/2022","1666051200","228689"
"10/19/2022","1666137600","385260"
"10/20/2022","1666224000","379820"
"10/21/2022","1666310400","249900"
"10/22/2022","1666396800","236908"
"10/23/2022","1666483200","268663"
"10/24/2022","1666569600","327499"
"10/25/2022","1666656000","362419"
"10/26/2022","1666742400","418983"
"10/27/2022","1666828800","426120"
"10/28/2022","1666915200","387495"
"10/29/2022","1667001600","361718"
"10/30/2022","1667088000","371742"
"10/31/2022","1667174400","380886"
"11/1/2022","1667260800","382137"
"11/2/2022","1667347200","383524"
"11/3/2022","1667433600","327412"
"11/4/2022","1667520000","333553"
"11/5/2022","1667606400","347046"
"11/6/2022","1667692800","375410"
"11/7/2022","1667779200","395336"
"11/8/2022","1667865600","576012"
"11/9/2022","1667952000","573713"
"11/10/2022","1668038400","471993"
"11/11/2022","1668124800","474270"
"11/12/2022","1668211200","354581"
"11/13/2022","1668297600","334795"
"11/14/2022","1668384000","356281"
"11/15/2022","1668470400","345194"
"11/16/2022","1668556800","344687"
"11/17/2022","1668643200","317824"
"11/18/2022","1668729600","304880"
"11/19/2022","1668816000","456633"
"11/20/2022","1668902400","496830"
"11/21/2022","1668988800","502360"
"11/22/2022","1669075200","462353"
"11/23/2022","1669161600","415646"
"11/24/2022","1669248000","354543"
"11/25/2022","1669334400","353067"
"11/26/2022","1669420800","336959"
"11/27/2022","1669507200","323965"
"11/28/2022","1669593600","344099"
"11/29/2022","1669680000","377800"
"11/30/2022","1669766400","400947"
"12/1/2022","1669852800","372484"
"12/2/2022","1669939200","367326"
"12/3/2022","1670025600","369486"
"12/4/2022","1670112000","404872"
"12/5/2022","1670198400","355962"
"12/6/2022","1670284800","363933"
"12/7/2022","1670371200","345724"
"12/8/2022","1670457600","338466"
